#AssemblyAccession	AssemblyName	Taxid	SpeciesName	AssemblyStatus
GCF_000023685.1	ASM2368v1	436113	Mycoplasma mycoides	Complete Genome
GCF_000277795.1	ASM27779v1	1197325	Mycoplasma wenyonii	Complete Genome
GCF_002090295.1	ASM209029v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_002090215.1	ASM209021v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_000013425.1	ASM1342v1	93061	Staphylococcus aureus	Complete Genome
GCF_000021265.1	ASM2126v1	565575	Ureaplasma urealyticum	Complete Genome
GCF_012934885.1	ASM1293488v1	2726117	Mycoplasma phocoeninasale	Complete Genome
GCF_002128265.1	ASM212826v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_001552035.1	ASM155203v1	1311	Streptococcus agalactiae	Complete Genome
GCF_011464375.1	ASM1146437v1	40480	Mycoplasma capricolum	Complete Genome
GCF_004771095.1	ASM477109v1	2096	Mycoplasmoides gallisepticum	Complete Genome
GCF_011464815.1	ASM1146481v1	40480	Mycoplasma capricolum	Complete Genome
GCF_000143865.1	ASM14386v1	865867	Mycoplasma mycoides	Complete Genome
GCF_001020205.1	ASM102020v1	1509	Clostridium sporogenes	Complete Genome
GCF_003953005.1	ASM395300v1	38504	Ureaplasma parvum	Complete Genome
GCF_009939845.1	ASM993984v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_900489665.1	MMC-GTS-glpFKO	40477	Mycoplasma mycoides	Complete Genome
GCF_001705605.1	ASM170560v1	2100	Mesomycoplasma hyorhinis	Complete Genome
GCF_009946845.1	ASM994684v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_003663725.1	ASM366372v1	2098	Metamycoplasma hominis	Complete Genome
GCF_002095995.1	ASM209599v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_000179035.2	ASM17903v2	768700	Mycoplasma suis	Complete Genome
GCF_900660555.1	50884_D01-3	45361	Mesomycoplasma conjunctivae	Complete Genome
GCF_007859615.1	ASM785961v1	519450	Mycoplasma anserisalpingitidis	Complete Genome
GCF_900489545.1	MMC-glpQ	40477	Mycoplasma mycoides	Complete Genome
GCF_900489685.1	MMC-GTS-glpF	40477	Mycoplasma mycoides	Complete Genome
GCF_002128165.1	ASM212816v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_021460055.1	ASM2146005v1	2130	Ureaplasma urealyticum	Complete Genome
GCF_910574535.1	mpn_CV2	272634	Mycoplasmoides pneumoniae	Complete Genome
GCF_002128065.1	ASM212806v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_017569245.1	ASM1756924v1	1313	Streptococcus pneumoniae	Complete Genome
GCF_000835085.1	ASM83508v1	1124992	Mycoplasma capricolum	Complete Genome
GCF_000027345.1	ASM2734v1	272634	Mycoplasmoides pneumoniae	Complete Genome
GCF_000200735.1	ASM20073v1	941640	Mycoplasma haemofelis	Complete Genome
GCF_014352955.1	ASM1435295v1	640330	Mycoplasma sp. Pen4	Complete Genome
GCF_006716625.1	ASM671662v1	2130	Ureaplasma urealyticum	Complete Genome
GCF_013402755.1	ASM1340275v1	2099	Mesomycoplasma hyopneumoniae	Complete Genome
GCF_009939975.1	ASM993997v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_900660485.1	50648_E01-3	2120	Mesomycoplasma neurolyticum	Complete Genome
GCF_011464075.1	ASM1146407v1	40480	Mycoplasma capricolum	Complete Genome
GCF_000211295.1	ASM21129v1	936139	Mesomycoplasma hyorhinis	Complete Genome
GCF_009944725.1	ASM994472v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_000009045.1	ASM904v1	224308	Bacillus subtilis	Complete Genome
GCF_000389675.1	ASM38967v1	1314884	Lactobacillus acidophilus	Complete Genome
GCF_001272915.1	ASM127291v1	1263835	Mycoplasmoides pneumoniae	Complete Genome
GCF_900660725.1	57792_D01-3	2094	Mycoplasmopsis arginini	Complete Genome
GCF_000815065.1	ASM81506v1	743971	Mesomycoplasma flocculare	Complete Genome
GCF_001509195.1	ASM150919v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_900660465.1	50648_A01-3	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_000292505.1	ASM29250v1	662947	Mycoplasmoides genitalium	Complete Genome
GCF_007858515.1	ASM785851v1	519450	Mycoplasma anserisalpingitidis	Complete Genome
GCF_011464495.1	ASM1146449v1	40480	Mycoplasma capricolum	Complete Genome
GCF_002128185.1	ASM212818v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_000387745.1	19294_v1	1213463	Mycoplasmoides pneumoniae	Contig
GCF_000218855.1	ASM21885v1	991791	Clostridium acetobutylicum	Complete Genome
GCF_002128145.1	ASM212814v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_900489675.1	MMC-GTS	40477	Mycoplasma mycoides	Complete Genome
GCF_002205515.1	ASM220551v1	134821	Ureaplasma parvum	Complete Genome
GCF_001045685.1	ASM104568v1	1123015	Pseudomonas aeruginosa	Complete Genome
GCF_009947205.1	ASM994720v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_011045555.1	ASM1104555v1	40480	Mycoplasma capricolum	Complete Genome
GCF_019720735.1	ASM1972073v1	353851	Mycoplasma sp. Ms02	Complete Genome
GCF_008728895.1	ASM872889v1	2096	Mycoplasmoides gallisepticum	Complete Genome
GCF_002128025.1	ASM212802v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_002128205.1	ASM212820v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_001272875.1	ASM127287v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_900489805.1	WT-YCP-cl5-2-W303	40477	Mycoplasma mycoides	Complete Genome
GCF_006716515.1	ASM671651v1	134821	Ureaplasma parvum	Complete Genome
GCF_011463895.1	ASM1146389v1	40480	Mycoplasma capricolum	Complete Genome
GCF_000192395.2	ASM19239v2	927701	Mycoplasma capricolum	Complete Genome
GCF_008728935.1	ASM872893v1	2096	Mycoplasmoides gallisepticum	Complete Genome
GCF_013367995.1	ASM1336799v1	2098	Metamycoplasma hominis	Complete Genome
GCF_001272895.1	ASM127289v1	1280940	Mycoplasmoides pneumoniae	Complete Genome
GCF_009944075.1	ASM994407v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_001272855.1	ASM127285v1	1263763	Mycoplasmoides pneumoniae	Complete Genome
GCF_000427215.1	ASM42721v1	754503	Mesomycoplasma hyopneumoniae	Complete Genome
GCF_002128105.1	ASM212810v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_000008205.1	ASM820v1	262719	Mesomycoplasma hyopneumoniae	Complete Genome
GCF_000018785.1	ASM1878v1	441768	Acholeplasma laidlawii	Complete Genome
